LEVEL 1.1  MBHLJQHY
LEVEL 1.2  MUFWLNCC
LEVEL 1.3  MOOLOWTN
LEVEL 1.4  MAKWHJCN
LEVEL 1.5  UUYWHTEU
LEVEL 1.6  MCOLHPCN
LEVEL 1.7  MBOLHJAH
LEVEL 1.8  MOZLONCE
LEVEL 2.1  UKBLWWVG
LEVEL 2.2  MXBWESYK
LEVEL 2.3  MAVEBHCP
LEVEL 2.4  MBHABHYH
LEVEL 2.5  MOHAEITP
LEVEL 2.6  MBYABMYH
LEVEL 2.7  MUCEEOVN
LEVEL 2.8  MCHABBCZ
LEVEL 3.1  UKCZHGVG
LEVEL 3.2  UBRZOPVK
LEVEL 3.3  MWCEHTEY
LEVEL 3.4  MAEEHHLC
LEVEL 3.5  MKAAOIEY
LEVEL 3.6  UUVKHBRE
LEVEL 3.7  UKHZHHST
LEVEL 3.8  MKAAOEYS
LEVEL 4.1  UANKVJZA
LEVEL 4.2  UXGVNNLK
LEVEL 4.3  MUBCNWGP
LEVEL 4.4  MWVCQJSH
LEVEL 4.5  UXNVNTLG
LEVEL 4.6  MBONIJVH
LEVEL 4.7  UXOVNVHG
LEVEL 4.8  UXYVNEHL
LEVEL 5.1  MBZNSVLA
LEVEL 5.2  MAFCSVET
LEVEL 5.3  UWVVIHAT
LEVEL 5.4  MOANTLAC
LEVEL 5.5  UOZHHVTU
LEVEL 5.6  UBHHOWAK
LEVEL 5.7  UUVVHPTU
LEVEL 5.8  UKZHHEAH
LEVEL 6.1  MKANPECK
LEVEL 6.2  UCHHVTTN
LEVEL 6.3  UOHHWITU
LEVEL 6.4  MXECPOTK
LEVEL 6.5  MOANPOYT
LEVEL 6.6  UKAHWJUV
LEVEL 6.7  MWRCGMNA
LEVEL 6.8  MAWCGTHR
LEVEL 7.1  MOLNVEKT
LEVEL 7.2  MWRESGPK
LEVEL 7.3  MCGASLKN
LEVEL 7.4  MOLATVHN
LEVEL 7.5  UBLZINNG
LEVEL 7.6  UUEKMQKN
LEVEL 7.7  MARESWKP
LEVEL 7.8  MXWETPPV
LEVEL 8.1  MBCAIIAH
LEVEL 8.2  UKFONETK
LEVEL 8.3  MWZEIIEK
LEVEL 8.4  MORAMBCP
LEVEL 8.5  MWOEISEK
LEVEL 8.6  UCHOQWHE
LEVEL 8.7  MKKAMTEA
LEVEL 8.8  UWKFQBPL
